#ClassID	HMDBName
GS445_M13621_G34	"TG(14:0/18:4(6Z,9Z,12Z,15Z)/16:0)"
GS445_M13621_G34	"TG(14:0/18:4(6Z,9Z,12Z,15Z)/16:1(9Z))"
GS445_M13621_G34	"TG(14:0/18:4(6Z,9Z,12Z,15Z)/18:0)"
GS445_M13621_G34	"TG(14:0/18:4(6Z,9Z,12Z,15Z)/18:1(11Z))"
GS445_M13621_G34	"TG(14:0/18:4(6Z,9Z,12Z,15Z)/18:1(9Z))"
GS445_M13621_G34	"TG(14:0/18:4(6Z,9Z,12Z,15Z)/18:2(9Z,12Z))"
GS445_M13621_G34	"TG(14:0/18:4(6Z,9Z,12Z,15Z)/18:3(6Z,9Z,12Z))"
GS445_M13621_G34	"TG(14:0/18:4(6Z,9Z,12Z,15Z)/18:3(9Z,12Z,15Z))"
GS445_M13621_G34	"TG(14:0/18:4(6Z,9Z,12Z,15Z)/18:4(6Z,9Z,12Z,15Z))"
GS445_M13621_G34	"TG(14:0/18:4(6Z,9Z,12Z,15Z)/20:0)"
GS445_M13621_G34	"TG(14:0/18:4(6Z,9Z,12Z,15Z)/20:1(11Z))"
GS445_M13621_G34	"TG(14:0/18:4(6Z,9Z,12Z,15Z)/20:2n6)"
GS445_M13621_G34	"TG(14:0/18:4(6Z,9Z,12Z,15Z)/20:3(5Z,8Z,11Z))"
GS445_M13621_G34	"TG(14:0/18:4(6Z,9Z,12Z,15Z)/20:3n6)"
GS445_M13621_G34	"TG(14:0/18:4(6Z,9Z,12Z,15Z)/20:4(5Z,8Z,11Z,14Z))"
GS445_M13621_G34	"TG(14:0/18:4(6Z,9Z,12Z,15Z)/20:4(8Z,11Z,14Z,17Z))"
GS445_M13621_G34	"TG(14:0/18:4(6Z,9Z,12Z,15Z)/20:5(5Z,8Z,11Z,14Z,17Z))"
GS445_M13621_G34	"TG(14:0/18:4(6Z,9Z,12Z,15Z)/22:0)"
GS445_M13621_G34	"TG(14:0/18:4(6Z,9Z,12Z,15Z)/22:1(13Z))"
GS445_M13621_G34	"TG(14:0/18:4(6Z,9Z,12Z,15Z)/22:2(13Z,16Z))"
GS445_M13621_G34	"TG(14:0/18:4(6Z,9Z,12Z,15Z)/22:4(7Z,10Z,13Z,16Z))"
GS445_M13621_G34	"TG(14:0/18:4(6Z,9Z,12Z,15Z)/22:5(4Z,7Z,10Z,13Z,16Z))"
GS445_M13621_G34	"TG(14:0/18:4(6Z,9Z,12Z,15Z)/22:5(7Z,10Z,13Z,16Z,19Z))"
GS445_M13621_G34	"TG(14:0/18:4(6Z,9Z,12Z,15Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"
GS445_M13621_G34	"TG(14:0/18:4(6Z,9Z,12Z,15Z)/24:0)"
GS445_M13621_G34	"TG(14:0/18:4(6Z,9Z,12Z,15Z)/24:1(15Z))"
GS445_M13621_G34	"TG(14:0/18:4(6Z,9Z,12Z,15Z)/O-18:0)"
GS445_M13621_G34	"TG(14:0/20:0/14:0)"
GS445_M13621_G34	"TG(14:0/20:0/14:1(9Z))"
GS445_M13621_G34	"TG(14:0/20:0/15:0)"
GS445_M13621_G34	"TG(14:0/20:0/16:0)"
GS445_M13621_G34	"TG(14:0/20:0/16:1(9Z))"
GS445_M13621_G34	"TG(14:0/20:0/18:0)"
GS445_M13621_G34	"TG(14:0/20:0/18:1(11Z))"
GS445_M13621_G34	"TG(14:0/20:0/18:1(9Z))"
GS445_M13621_G34	"TG(14:0/20:0/18:2(9Z,12Z))"
GS445_M13621_G34	"TG(14:0/20:0/18:3(6Z,9Z,12Z))"
GS445_M13621_G34	"TG(14:0/20:0/18:3(9Z,12Z,15Z))"
GS445_M13621_G34	"TG(14:0/20:0/18:4(6Z,9Z,12Z,15Z))"
GS445_M13621_G34	"TG(14:0/20:0/20:0)"
GS445_M13621_G34	"TG(14:0/20:0/20:1(11Z))"
GS445_M13621_G34	"TG(14:0/20:0/20:2n6)"
GS445_M13621_G34	"TG(14:0/20:0/20:3(5Z,8Z,11Z))"
GS445_M13621_G34	"TG(14:0/20:0/20:3n6)"
GS445_M13621_G34	"TG(14:0/20:0/20:4(5Z,8Z,11Z,14Z))"
GS445_M13621_G34	"TG(14:0/20:0/20:4(8Z,11Z,14Z,17Z))"
GS445_M13621_G34	"TG(14:0/20:0/20:5(5Z,8Z,11Z,14Z,17Z))"
GS445_M13621_G34	"TG(14:0/20:0/22:0)"
GS445_M13621_G34	"TG(14:0/20:0/22:1(13Z))"
GS445_M13621_G34	"TG(14:0/20:0/22:2(13Z,16Z))"
GS445_M13621_G34	"TG(14:0/20:0/22:4(7Z,10Z,13Z,16Z))"
GS445_M13621_G34	"TG(14:0/20:0/22:5(4Z,7Z,10Z,13Z,16Z))"
GS445_M13621_G34	"TG(14:0/20:0/22:5(7Z,10Z,13Z,16Z,19Z))"
GS445_M13621_G34	"TG(14:0/20:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"
GS445_M13621_G34	"TG(14:0/20:0/24:0)"
GS445_M13621_G34	"TG(14:0/20:0/24:1(15Z))"
GS445_M13621_G34	"TG(14:0/20:0/O-18:0)"
GS445_M13621_G34	"TG(14:0/20:1(11Z)/14:0)"
GS445_M13621_G34	"TG(14:0/20:1(11Z)/14:1(9Z))"
GS445_M13621_G34	"TG(14:0/20:1(11Z)/15:0)"
GS445_M13621_G34	"TG(14:0/20:1(11Z)/16:0)"
GS445_M13621_G34	"TG(14:0/20:1(11Z)/16:1(9Z))"
GS445_M13621_G34	"TG(14:0/20:1(11Z)/18:0)"
GS445_M13621_G34	"TG(14:0/20:1(11Z)/18:1(11Z))"
GS445_M13621_G34	"TG(14:0/20:1(11Z)/18:1(9Z))"
GS445_M13621_G34	"TG(14:0/20:1(11Z)/18:2(9Z,12Z))"
GS445_M13621_G34	"TG(14:0/20:1(11Z)/18:3(6Z,9Z,12Z))"
GS445_M13621_G34	"TG(14:0/20:1(11Z)/18:3(9Z,12Z,15Z))"
GS445_M13621_G34	"TG(14:0/20:1(11Z)/18:4(6Z,9Z,12Z,15Z))"
GS445_M13621_G34	"TG(14:0/20:1(11Z)/20:0)"
GS445_M13621_G34	"TG(14:0/20:1(11Z)/20:1(11Z))"
GS445_M13621_G34	"TG(14:0/20:1(11Z)/20:2n6)"
GS445_M13621_G34	"TG(14:0/20:1(11Z)/20:3(5Z,8Z,11Z))"
GS445_M13621_G34	"TG(14:0/20:1(11Z)/20:3n6)"
GS445_M13621_G34	"TG(14:0/20:1(11Z)/20:4(5Z,8Z,11Z,14Z))"
GS445_M13621_G34	"TG(14:0/20:1(11Z)/20:4(8Z,11Z,14Z,17Z))"
GS445_M13621_G34	"TG(14:0/20:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z))"
GS445_M13621_G34	"TG(14:0/20:1(11Z)/22:0)"
GS445_M13621_G34	"TG(14:0/20:1(11Z)/22:1(13Z))"
GS445_M13621_G34	"TG(14:0/20:1(11Z)/22:2(13Z,16Z))"
GS445_M13621_G34	"TG(14:0/20:1(11Z)/22:4(7Z,10Z,13Z,16Z))"
GS445_M13621_G34	"TG(14:0/20:1(11Z)/22:5(4Z,7Z,10Z,13Z,16Z))"
GS445_M13621_G34	"TG(14:0/20:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z))"
GS445_M13621_G34	"TG(14:0/20:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"
GS445_M13621_G34	"TG(14:0/20:1(11Z)/24:0)"
GS445_M13621_G34	"TG(14:0/20:1(11Z)/24:1(15Z))"
GS445_M13621_G34	"TG(14:0/20:1(11Z)/O-18:0)"
GS445_M13621_G34	"TG(14:0/20:2n6/14:0)"
GS445_M13621_G34	"TG(14:0/20:2n6/14:1(9Z))"
GS445_M13621_G34	"TG(14:0/20:2n6/15:0)"
GS445_M13621_G34	"TG(14:0/20:2n6/16:0)"
GS445_M13621_G34	"TG(14:0/20:2n6/16:1(9Z))"
GS445_M13621_G34	"TG(14:0/20:2n6/18:0)"
GS445_M13621_G34	"TG(14:0/20:2n6/18:1(11Z))"
GS445_M13621_G34	"TG(14:0/20:2n6/18:1(9Z))"
GS445_M13621_G34	"TG(14:0/20:2n6/18:2(9Z,12Z))"
GS445_M13621_G34	"TG(14:0/20:2n6/18:3(6Z,9Z,12Z))"
GS445_M13621_G34	"TG(14:0/20:2n6/18:3(9Z,12Z,15Z))"
GS445_M13621_G34	"TG(14:0/20:2n6/18:4(6Z,9Z,12Z,15Z))"
GS445_M13621_G34	"TG(14:0/20:2n6/20:0)"
GS445_M13621_G34	"TG(14:0/20:2n6/20:1(11Z))"
GS445_M13621_G34	"TG(14:0/20:2n6/20:2n6)"
GS445_M13621_G34	"TG(14:0/20:2n6/20:3(5Z,8Z,11Z))"
GS445_M13621_G34	"TG(14:0/20:2n6/20:3n6)"
GS445_M13621_G34	"TG(14:0/20:2n6/20:4(5Z,8Z,11Z,14Z))"
GS445_M13621_G34	"TG(14:0/20:2n6/20:4(8Z,11Z,14Z,17Z))"
GS445_M13621_G34	"TG(14:0/20:2n6/20:5(5Z,8Z,11Z,14Z,17Z))"
GS445_M13621_G34	"TG(14:0/20:2n6/22:0)"
GS445_M13621_G34	"TG(14:0/20:2n6/22:1(13Z))"
GS445_M13621_G34	"TG(14:0/20:2n6/22:2(13Z,16Z))"
GS445_M13621_G34	"TG(14:0/20:2n6/22:4(7Z,10Z,13Z,16Z))"
GS445_M13621_G34	"TG(14:0/20:2n6/22:5(4Z,7Z,10Z,13Z,16Z))"
GS445_M13621_G34	"TG(14:0/20:2n6/22:5(7Z,10Z,13Z,16Z,19Z))"
GS445_M13621_G34	"TG(14:0/20:2n6/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"
GS445_M13621_G34	"TG(14:0/20:2n6/24:0)"
GS445_M13621_G34	"TG(14:0/20:2n6/24:1(15Z))"
GS445_M13621_G34	"TG(14:0/20:2n6/O-18:0)"
GS445_M13621_G34	"TG(14:0/20:3(5Z,8Z,11Z)/14:0)"
GS445_M13621_G34	"TG(14:0/20:3(5Z,8Z,11Z)/14:1(9Z))"
GS445_M13621_G34	"TG(14:0/20:3(5Z,8Z,11Z)/15:0)"
GS445_M13621_G34	"TG(14:0/20:3(5Z,8Z,11Z)/16:0)"
GS445_M13621_G34	"TG(14:0/20:3(5Z,8Z,11Z)/16:1(9Z))"
GS445_M13621_G34	"TG(14:0/20:3(5Z,8Z,11Z)/18:0)"
GS445_M13621_G34	"TG(14:0/20:3(5Z,8Z,11Z)/18:1(11Z))"
GS445_M13621_G34	"TG(14:0/20:3(5Z,8Z,11Z)/18:1(9Z))"
GS445_M13621_G34	"TG(14:0/20:3(5Z,8Z,11Z)/18:2(9Z,12Z))"
GS445_M13621_G34	"TG(14:0/20:3(5Z,8Z,11Z)/18:3(6Z,9Z,12Z))"
GS445_M13621_G34	"TG(14:0/20:3(5Z,8Z,11Z)/18:3(9Z,12Z,15Z))"
GS445_M13621_G34	"TG(14:0/20:3(5Z,8Z,11Z)/18:4(6Z,9Z,12Z,15Z))"
GS445_M13621_G34	"TG(14:0/20:3(5Z,8Z,11Z)/20:0)"
GS445_M13621_G34	"TG(14:0/20:3(5Z,8Z,11Z)/20:1(11Z))"
GS445_M13621_G34	"TG(14:0/20:3(5Z,8Z,11Z)/20:2n6)"
GS445_M13621_G34	"TG(14:0/20:3(5Z,8Z,11Z)/20:3(5Z,8Z,11Z))"
GS445_M13621_G34	"TG(14:0/20:3(5Z,8Z,11Z)/20:3n6)"
GS445_M13621_G34	"TG(14:0/20:3(5Z,8Z,11Z)/20:4(5Z,8Z,11Z,14Z))"
GS445_M13621_G34	"TG(14:0/20:3(5Z,8Z,11Z)/20:4(8Z,11Z,14Z,17Z))"
GS445_M13621_G34	"TG(14:0/20:3(5Z,8Z,11Z)/20:5(5Z,8Z,11Z,14Z,17Z))"
GS445_M13621_G34	"TG(14:0/20:3(5Z,8Z,11Z)/22:0)"
GS445_M13621_G34	"TG(14:0/20:3(5Z,8Z,11Z)/22:1(13Z))"
GS445_M13621_G34	"TG(14:0/20:3(5Z,8Z,11Z)/22:2(13Z,16Z))"
GS445_M13621_G34	"TG(14:0/20:3(5Z,8Z,11Z)/22:4(7Z,10Z,13Z,16Z))"
GS445_M13621_G34	"TG(14:0/20:3(5Z,8Z,11Z)/22:5(4Z,7Z,10Z,13Z,16Z))"
GS445_M13621_G34	"TG(14:0/20:3(5Z,8Z,11Z)/22:5(7Z,10Z,13Z,16Z,19Z))"
GS445_M13621_G34	"TG(14:0/20:3(5Z,8Z,11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"
GS445_M13621_G34	"TG(14:0/20:3(5Z,8Z,11Z)/24:0)"
GS445_M13621_G34	"TG(14:0/20:3(5Z,8Z,11Z)/24:1(15Z))"
GS445_M13621_G34	"TG(14:0/20:3(5Z,8Z,11Z)/O-18:0)"
GS445_M13621_G34	"TG(14:0/20:3n6/14:0)"
GS445_M13621_G34	"TG(14:0/20:3n6/14:1(9Z))"
GS445_M13621_G34	"TG(14:0/20:3n6/15:0)"
GS445_M13621_G34	"TG(14:0/20:3n6/16:0)"
GS445_M13621_G34	"TG(14:0/20:3n6/16:1(9Z))"
GS445_M13621_G34	"TG(14:0/20:3n6/18:0)"
GS445_M13621_G34	"TG(14:0/20:3n6/18:1(11Z))"
GS445_M13621_G34	"TG(14:0/20:3n6/18:1(9Z))"
GS445_M13621_G34	"TG(14:0/20:3n6/18:2(9Z,12Z))"
GS445_M13621_G34	"TG(14:0/20:3n6/18:3(6Z,9Z,12Z))"
GS445_M13621_G34	"TG(14:0/20:3n6/18:3(9Z,12Z,15Z))"
GS445_M13621_G34	"TG(14:0/20:3n6/18:4(6Z,9Z,12Z,15Z))"
GS445_M13621_G34	"TG(14:0/20:3n6/20:0)"
GS445_M13621_G34	"TG(14:0/20:3n6/20:1(11Z))"
GS445_M13621_G34	"TG(14:0/20:3n6/20:2n6)"
GS445_M13621_G34	"TG(14:0/20:3n6/20:3(5Z,8Z,11Z))"
GS445_M13621_G34	"TG(14:0/20:3n6/20:3n6)"
GS445_M13621_G34	"TG(14:0/20:3n6/20:4(5Z,8Z,11Z,14Z))"
GS445_M13621_G34	"TG(14:0/20:3n6/20:4(8Z,11Z,14Z,17Z))"
GS445_M13621_G34	"TG(14:0/20:3n6/20:5(5Z,8Z,11Z,14Z,17Z))"
GS445_M13621_G34	"TG(14:0/20:3n6/22:0)"
GS445_M13621_G34	"TG(14:0/20:3n6/22:1(13Z))"
GS445_M13621_G34	"TG(14:0/20:3n6/22:2(13Z,16Z))"
GS445_M13621_G34	"TG(14:0/20:3n6/22:4(7Z,10Z,13Z,16Z))"
GS445_M13621_G34	"TG(14:0/20:3n6/22:5(4Z,7Z,10Z,13Z,16Z))"
GS445_M13621_G34	"TG(14:0/20:3n6/22:5(7Z,10Z,13Z,16Z,19Z))"
GS445_M13621_G34	"TG(14:0/20:3n6/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"
GS445_M13621_G34	"TG(14:0/20:3n6/24:0)"
GS445_M13621_G34	"TG(14:0/20:3n6/24:1(15Z))"
GS445_M13621_G34	"TG(14:0/20:3n6/O-18:0)"
GS445_M13621_G34	"TG(14:0/20:4(5Z,8Z,11Z,14Z)/14:0)"
GS445_M13621_G34	"TG(14:0/20:4(5Z,8Z,11Z,14Z)/14:1(9Z))"
GS445_M13621_G34	"TG(14:0/20:4(5Z,8Z,11Z,14Z)/15:0)"
GS445_M13621_G34	"TG(14:0/20:4(5Z,8Z,11Z,14Z)/16:0)"
GS445_M13621_G34	"TG(14:0/20:4(5Z,8Z,11Z,14Z)/16:1(9Z))"
GS445_M13621_G34	"TG(14:0/20:4(5Z,8Z,11Z,14Z)/18:0)"
GS445_M13621_G34	"TG(14:0/20:4(5Z,8Z,11Z,14Z)/18:1(11Z))"
GS445_M13621_G34	"TG(14:0/20:4(5Z,8Z,11Z,14Z)/18:1(9Z))"
GS445_M13621_G34	"TG(14:0/20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z))"
GS445_M13621_G34	"TG(14:0/20:4(5Z,8Z,11Z,14Z)/18:3(6Z,9Z,12Z))"
GS445_M13621_G34	"TG(14:0/20:4(5Z,8Z,11Z,14Z)/18:3(9Z,12Z,15Z))"
GS445_M13621_G34	"TG(14:0/20:4(5Z,8Z,11Z,14Z)/18:4(6Z,9Z,12Z,15Z))"
GS445_M13621_G34	"TG(14:0/20:4(5Z,8Z,11Z,14Z)/20:0)"
GS445_M13621_G34	"TG(14:0/20:4(5Z,8Z,11Z,14Z)/20:1(11Z))"
GS445_M13621_G34	"TG(14:0/20:4(5Z,8Z,11Z,14Z)/20:2n6)"
GS445_M13621_G34	"TG(14:0/20:4(5Z,8Z,11Z,14Z)/20:3(5Z,8Z,11Z))"
GS445_M13621_G34	"TG(14:0/20:4(5Z,8Z,11Z,14Z)/20:3n6)"
GS445_M13621_G34	"TG(14:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))"
GS445_M13621_G34	"TG(14:0/20:4(5Z,8Z,11Z,14Z)/20:4(8Z,11Z,14Z,17Z))"
GS445_M13621_G34	"TG(14:0/20:4(5Z,8Z,11Z,14Z)/20:5(5Z,8Z,11Z,14Z,17Z))"
GS445_M13621_G34	"TG(14:0/20:4(5Z,8Z,11Z,14Z)/22:0)"
GS445_M13621_G34	"TG(14:0/20:4(5Z,8Z,11Z,14Z)/22:1(13Z))"
GS445_M13621_G34	"TG(14:0/20:4(5Z,8Z,11Z,14Z)/22:2(13Z,16Z))"
GS445_M13621_G34	"TG(14:0/20:4(5Z,8Z,11Z,14Z)/22:4(7Z,10Z,13Z,16Z))"
GS445_M13621_G34	"TG(14:0/20:4(5Z,8Z,11Z,14Z)/22:5(4Z,7Z,10Z,13Z,16Z))"
GS445_M13621_G34	"TG(14:0/20:4(5Z,8Z,11Z,14Z)/22:5(7Z,10Z,13Z,16Z,19Z))"
GS445_M13621_G34	"TG(14:0/20:4(5Z,8Z,11Z,14Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"
GS445_M13621_G34	"TG(14:0/20:4(5Z,8Z,11Z,14Z)/24:0)"
GS445_M13621_G34	"TG(14:0/20:4(5Z,8Z,11Z,14Z)/24:1(15Z))"
GS445_M13621_G34	"TG(14:0/20:4(5Z,8Z,11Z,14Z)/O-18:0)"
GS445_M13621_G34	"TG(14:0/20:4(8Z,11Z,14Z,17Z)/14:0)"
GS445_M13621_G34	"TG(14:0/20:4(8Z,11Z,14Z,17Z)/14:1(9Z))"
GS445_M13621_G34	"TG(14:0/20:4(8Z,11Z,14Z,17Z)/15:0)"
GS445_M13621_G34	"TG(14:0/20:4(8Z,11Z,14Z,17Z)/16:0)"
GS445_M13621_G34	"TG(14:0/20:4(8Z,11Z,14Z,17Z)/16:1(9Z))"
GS445_M13621_G34	"TG(14:0/20:4(8Z,11Z,14Z,17Z)/18:0)"
GS445_M13621_G34	"TG(14:0/20:4(8Z,11Z,14Z,17Z)/18:1(11Z))"
GS445_M13621_G34	"TG(14:0/20:4(8Z,11Z,14Z,17Z)/18:1(9Z))"
GS445_M13621_G34	"TG(14:0/20:4(8Z,11Z,14Z,17Z)/18:2(9Z,12Z))"
GS445_M13621_G34	"TG(14:0/20:4(8Z,11Z,14Z,17Z)/18:3(6Z,9Z,12Z))"
GS445_M13621_G34	"TG(14:0/20:4(8Z,11Z,14Z,17Z)/18:3(9Z,12Z,15Z))"
GS445_M13621_G34	"TG(14:0/20:4(8Z,11Z,14Z,17Z)/18:4(6Z,9Z,12Z,15Z))"
GS445_M13621_G34	"TG(14:0/20:4(8Z,11Z,14Z,17Z)/20:0)"
GS445_M13621_G34	"TG(14:0/20:4(8Z,11Z,14Z,17Z)/20:1(11Z))"
GS445_M13621_G34	"TG(14:0/20:4(8Z,11Z,14Z,17Z)/20:2n6)"
GS445_M13621_G34	"TG(14:0/20:4(8Z,11Z,14Z,17Z)/20:3(5Z,8Z,11Z))"
GS445_M13621_G34	"TG(14:0/20:4(8Z,11Z,14Z,17Z)/20:3n6)"
GS445_M13621_G34	"TG(14:0/20:4(8Z,11Z,14Z,17Z)/20:4(5Z,8Z,11Z,14Z))"
GS445_M13621_G34	"TG(14:0/20:4(8Z,11Z,14Z,17Z)/20:4(8Z,11Z,14Z,17Z))"
GS445_M13621_G34	"TG(14:0/20:4(8Z,11Z,14Z,17Z)/20:5(5Z,8Z,11Z,14Z,17Z))"
GS445_M13621_G34	"TG(14:0/20:4(8Z,11Z,14Z,17Z)/22:0)"
GS445_M13621_G34	"TG(14:0/20:4(8Z,11Z,14Z,17Z)/22:1(13Z))"
GS445_M13621_G34	"TG(14:0/20:4(8Z,11Z,14Z,17Z)/22:2(13Z,16Z))"
GS445_M13621_G34	"TG(14:0/20:4(8Z,11Z,14Z,17Z)/22:4(7Z,10Z,13Z,16Z))"
GS445_M13621_G34	"TG(14:0/20:4(8Z,11Z,14Z,17Z)/22:5(4Z,7Z,10Z,13Z,16Z))"
GS445_M13621_G34	"TG(14:0/20:4(8Z,11Z,14Z,17Z)/22:5(7Z,10Z,13Z,16Z,19Z))"
GS445_M13621_G34	"TG(14:0/20:4(8Z,11Z,14Z,17Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"
GS445_M13621_G34	"TG(14:0/20:4(8Z,11Z,14Z,17Z)/24:0)"
GS445_M13621_G34	"TG(14:0/20:4(8Z,11Z,14Z,17Z)/24:1(15Z))"
GS445_M13621_G34	"TG(14:0/20:4(8Z,11Z,14Z,17Z)/O-18:0)"
GS445_M13621_G34	"TG(14:0/20:5(5Z,8Z,11Z,14Z,17Z)/14:0)"
GS445_M13621_G34	"TG(14:0/20:5(5Z,8Z,11Z,14Z,17Z)/14:1(9Z))"
GS445_M13621_G34	"TG(14:0/20:5(5Z,8Z,11Z,14Z,17Z)/15:0)"
GS445_M13621_G34	"TG(14:0/20:5(5Z,8Z,11Z,14Z,17Z)/16:0)"
GS445_M13621_G34	"TG(14:0/20:5(5Z,8Z,11Z,14Z,17Z)/16:1(9Z))"
GS445_M13621_G34	"TG(14:0/20:5(5Z,8Z,11Z,14Z,17Z)/18:0)"
GS445_M13621_G34	"TG(14:0/20:5(5Z,8Z,11Z,14Z,17Z)/18:1(11Z))"
GS445_M13621_G34	"TG(14:0/20:5(5Z,8Z,11Z,14Z,17Z)/18:1(9Z))"
GS445_M13621_G34	"TG(14:0/20:5(5Z,8Z,11Z,14Z,17Z)/18:2(9Z,12Z))"
GS445_M13621_G34	"TG(14:0/20:5(5Z,8Z,11Z,14Z,17Z)/18:3(6Z,9Z,12Z))"
GS445_M13621_G34	"TG(14:0/20:5(5Z,8Z,11Z,14Z,17Z)/18:3(9Z,12Z,15Z))"
GS445_M13621_G34	"TG(14:0/20:5(5Z,8Z,11Z,14Z,17Z)/18:4(6Z,9Z,12Z,15Z))"
GS445_M13621_G34	"TG(14:0/20:5(5Z,8Z,11Z,14Z,17Z)/20:0)"
GS445_M13621_G34	"TG(14:0/20:5(5Z,8Z,11Z,14Z,17Z)/20:1(11Z))"
GS445_M13621_G34	"TG(14:0/20:5(5Z,8Z,11Z,14Z,17Z)/20:2n6)"
GS445_M13621_G34	"TG(14:0/20:5(5Z,8Z,11Z,14Z,17Z)/20:3(5Z,8Z,11Z))"
GS445_M13621_G34	"TG(14:0/20:5(5Z,8Z,11Z,14Z,17Z)/20:3n6)"
GS445_M13621_G34	"TG(14:0/20:5(5Z,8Z,11Z,14Z,17Z)/20:4(5Z,8Z,11Z,14Z))"
GS445_M13621_G34	"TG(14:0/20:5(5Z,8Z,11Z,14Z,17Z)/20:4(8Z,11Z,14Z,17Z))"
GS445_M13621_G34	"TG(14:0/20:5(5Z,8Z,11Z,14Z,17Z)/20:5(5Z,8Z,11Z,14Z,17Z))"
GS445_M13621_G34	"TG(14:0/20:5(5Z,8Z,11Z,14Z,17Z)/22:0)"
GS445_M13621_G34	"TG(14:0/20:5(5Z,8Z,11Z,14Z,17Z)/22:1(13Z))"
GS445_M13621_G34	"TG(14:0/20:5(5Z,8Z,11Z,14Z,17Z)/22:2(13Z,16Z))"
GS445_M13621_G34	"TG(14:0/20:5(5Z,8Z,11Z,14Z,17Z)/22:4(7Z,10Z,13Z,16Z))"
GS445_M13621_G34	"TG(14:0/20:5(5Z,8Z,11Z,14Z,17Z)/22:5(4Z,7Z,10Z,13Z,16Z))"
GS445_M13621_G34	"TG(14:0/20:5(5Z,8Z,11Z,14Z,17Z)/22:5(7Z,10Z,13Z,16Z,19Z))"
GS445_M13621_G34	"TG(14:0/20:5(5Z,8Z,11Z,14Z,17Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"
GS445_M13621_G34	"TG(14:0/20:5(5Z,8Z,11Z,14Z,17Z)/24:0)"
GS445_M13621_G34	"TG(14:0/20:5(5Z,8Z,11Z,14Z,17Z)/24:1(15Z))"
GS445_M13621_G34	"TG(14:0/20:5(5Z,8Z,11Z,14Z,17Z)/O-18:0)"
GS445_M13621_G34	"TG(14:0/22:0/14:0)"
GS445_M13621_G34	"TG(14:0/22:0/14:1(9Z))"
GS445_M13621_G34	"TG(14:0/22:0/15:0)"
GS445_M13621_G34	"TG(14:0/22:0/16:0)"
GS445_M13621_G34	"TG(14:0/22:0/16:1(9Z))"
GS445_M13621_G34	"TG(14:0/22:0/18:0)"
GS445_M13621_G34	"TG(14:0/22:0/18:1(11Z))"
GS445_M13621_G34	"TG(14:0/22:0/18:1(9Z))"
GS445_M13621_G34	"TG(14:0/22:0/18:2(9Z,12Z))"
GS445_M13621_G34	"TG(14:0/22:0/18:3(6Z,9Z,12Z))"
GS445_M13621_G34	"TG(14:0/22:0/18:3(9Z,12Z,15Z))"
GS445_M13621_G34	"TG(14:0/22:0/18:4(6Z,9Z,12Z,15Z))"
GS445_M13621_G34	"TG(14:0/22:0/20:0)"
GS445_M13621_G34	"TG(14:0/22:0/20:1(11Z))"
GS445_M13621_G34	"TG(14:0/22:0/20:2n6)"
GS445_M13621_G34	"TG(14:0/22:0/20:3(5Z,8Z,11Z))"
GS445_M13621_G34	"TG(14:0/22:0/20:3n6)"
GS445_M13621_G34	"TG(14:0/22:0/20:4(5Z,8Z,11Z,14Z))"
GS445_M13621_G34	"TG(14:0/22:0/20:4(8Z,11Z,14Z,17Z))"
GS445_M13621_G34	"TG(14:0/22:0/20:5(5Z,8Z,11Z,14Z,17Z))"
GS445_M13621_G34	"TG(14:0/22:0/22:0)"
GS445_M13621_G34	"TG(14:0/22:0/22:1(13Z))"
GS445_M13621_G34	"TG(14:0/22:0/22:2(13Z,16Z))"
GS445_M13621_G34	"TG(14:0/22:0/22:4(7Z,10Z,13Z,16Z))"
GS445_M13621_G34	"TG(14:0/22:0/22:5(4Z,7Z,10Z,13Z,16Z))"
GS445_M13621_G34	"TG(14:0/22:0/22:5(7Z,10Z,13Z,16Z,19Z))"
GS445_M13621_G34	"TG(14:0/22:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"
GS445_M13621_G34	"TG(14:0/22:0/24:0)"
GS445_M13621_G34	"TG(14:0/22:0/24:1(15Z))"
GS445_M13621_G34	"TG(14:0/22:0/O-18:0)"
GS445_M13621_G34	"TG(14:0/22:1(13Z)/14:0)"
GS445_M13621_G34	"TG(14:0/22:1(13Z)/14:1(9Z))"
GS445_M13621_G34	"TG(14:0/22:1(13Z)/15:0)"
GS445_M13621_G34	"TG(14:0/22:1(13Z)/16:0)"
GS445_M13621_G34	"TG(14:0/22:1(13Z)/16:1(9Z))"
GS445_M13621_G34	"TG(14:0/22:1(13Z)/18:0)"
GS445_M13621_G34	"TG(14:0/22:1(13Z)/18:1(11Z))"
